0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 9.997305966130701771e-01
9.164214901428114019e-05 4.744209031598534687e-01 1.044422375721803126e-04 1.831876171383085661e+06 5.699814798194639608e-11 -2.950531236738749395e-07 1.832842980285622804e-04 9.997305966130701771e-01
2.886727693949855652e-04 1.494210719935266551e+00 3.562205193599261334e-03 2.906029879809533013e+05 1.225461159406287789e-08 -6.339620523013844006e-05 3.940612407614088770e-04 9.997305966130701771e-01
5.152579828327955936e-04 2.665731314601731405e+00 3.058318790796652614e-02 8.747562782325618900e+04 3.495235184897305997e-07 -1.799549209455550457e-03 6.364547249041823101e-04 9.997305966130701771e-01
7.758309782862771046e-04 4.000793349495467943e+00 1.371874449368292170e-01 3.767347651980238152e+04 3.640487071504505025e-06 -1.825181435059291743e-02 9.152072316683718990e-04 9.997305966130701771e-01
1.075489923057780821e-03 5.465246197079187240e+00 4.145853950566428803e-01 2.078446836359473673e+04 1.994142338586690413e-05 -9.156229793578585241e-02 1.235772614447189742e-03 9.997305966130701771e-01
1.420097709545009926e-03 6.930427141288000747e+00 8.949828027815568410e-01 1.346940976517867603e+04 6.642744702682360446e-05 -2.538134720614791395e-01 1.604422804642830326e-03 9.997305966130701771e-01
1.816396664005323451e-03 8.248306264797742315e+00 1.442793576989300330e+00 9.440154792482855555e+03 1.527941944210459819e-04 -4.468827630445859622e-01 2.028370523367816793e-03 9.997305966130701771e-01
2.272140461634684222e-03 9.371211777168134915e+00 1.909716046801623213e+00 6.871624983254683684e+03 2.778378106432183130e-04 -6.014553288858077718e-01 2.515910399901551651e-03 9.997305966130701771e-01
2.796245828908448978e-03 1.032549103212488539e+01 2.259414533128031088e+00 5.136830934153169437e+03 4.397266651683778274e-04 -7.083236417347633651e-01 3.076581257915346305e-03 9.997305966130701771e-01
3.398967001273278492e-03 1.115084789153394418e+01 2.511854897336118775e+00 3.928149329543418844e+03 6.392766309250419573e-04 -7.809701320851786255e-01 3.721352744631210678e-03 9.997305966130701771e-01
4.092096349492832172e-03 1.187984555697600442e+01 2.694363240167630735e+00 3.063745030684348876e+03 8.791963800679641373e-04 -8.313739328162605968e-01 4.462839954354454533e-03 9.997305966130701771e-01
4.889195099945320075e-03 1.253629116345418026e+01 2.828497036649822771e+00 2.430657412122448477e+03 1.163360837851556365e-03 -8.672548174135279453e-01 5.315550245536184749e-03 9.997305966130701771e-01
5.805858662965679429e-03 1.313734113769621281e+01 2.929480565204026554e+00 1.957173944910563250e+03 1.496386481472155921e-03 -8.953739133368685543e-01 6.296167080395174108e-03 9.997305966130701771e-01
6.860021760439092772e-03 1.369860005381807255e+01 3.006019164647723674e+00 1.594161976257470769e+03 1.861580236945098790e-03 -9.089229270054484111e-01 7.423876440483012304e-03 9.872384323145098062e-01
8.072309322533520459e-03 1.422892777951016186e+01 3.065718001468841880e+00 1.309836080934480151e+03 2.303725944773529766e-03 -9.255153386519456848e-01 8.720742204584026880e-03 9.842717054974172708e-01
9.466440018942109610e-03 1.473175864315527939e+01 3.110328319824119170e+00 1.084323061892369196e+03 2.822092462064087950e-03 -9.370511109005087436e-01 1.021213783330019234e-02 9.838368952586302729e-01
1.106969031981198601e-02 1.521130708167073564e+01 3.142998924693209073e+00 9.034433486130340043e+02 3.427035900794981292e-03 -9.459008211023234303e-01 1.192724280632378141e-02 9.850873506753898834e-01
1.291342816581234586e-02 1.567122331943731339e+01 3.166243095419927212e+00 7.569674137007672243e+02 4.127949191279530958e-03 -9.523232665989376233e-01 1.389961352530091031e-02 9.868852671670503840e-01
1.503372668871276116e-02 1.611466871419176528e+01 3.182043242841855246e+00 6.373439663304748137e+02 4.937177198126295810e-03 -9.569124661354682093e-01 1.616783985212461028e-02 9.888852772688510040e-01
1.747206999004823763e-02 1.654428961972987011e+01 3.191837680872226191e+00 5.389228801165954792e+02 5.868326353199049966e-03 -9.600078933701163830e-01 1.877630012797186151e-02 9.908307688947874947e-01
2.027616478658402985e-02 1.696237660240759126e+01 3.196609486048615167e+00 4.573994536303262635e+02 6.934647766837193084e-03 -9.616992572086124902e-01 2.177602944519619818e-02 9.922700397656482041e-01
2.350087380260019315e-02 1.737094456184701485e+01 3.196957431510005776e+00 3.894426426808101382e+02 8.151436496300564633e-03 -9.621117767485378725e-01 2.522571816000419159e-02 9.929793765776299130e-01
2.720928917101878702e-02 1.777167538406609992e+01 3.193118703271994541e+00 3.324564497845370283e+02 9.538632911306773113e-03 -9.614025053372647900e-01 2.919286018203337899e-02 9.931281177789290648e-01
3.147396684470016304e-02 1.816586167762561033e+01 3.185014982644204018e+00 2.844105515674775688e+02 1.112170241057596105e-02 -9.596781071645007488e-01 3.375507350736695056e-02 9.931273700137852600e-01
3.637834616943375066e-02 1.855441503380795965e+01 3.172332049459946735e+00 2.437090928295575338e+02 1.293152778581334664e-02 -9.569714604733865482e-01 3.900161883150054382e-02 9.934417301546648593e-01
4.201838239287736254e-02 1.893791899568781290e+01 3.154602447959502509e+00 2.090881960862028563e+02 1.500428073812921231e-02 -9.532567860943277349e-01 4.503514595425418821e-02 9.944879834418679510e-01
4.850442404983752731e-02 1.931669256477713148e+01 3.131268999330077740e+00 1.795376841496947691e+02 1.738164996427959269e-02 -9.484681697833217129e-01 5.197370214542087336e-02 9.966111257388979849e-01
